OBJECTID,Shape,SeepID,Date,Seep_Name,Latitude,Longitude,Clay_Layer_Presence,Clay_Layer_Depth__cm,Temperature,Conductivity_mScm,Salinity,DO,DOmgL,pH,Water_Presence,Flowing_Water,Blackened_Leaves,Visible_Exit,Phosphates_ppm,Nitrates_ppm,Radon__Bq_m3,Stygobromus,Crangonyx,Caecidotea_kenki,Caecidotea_jeffersoni,Caecidotea_sp__Unknown,Fontigens,Inhabitants,Species_identified,PARKNAME,Notes,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_AGE,ROCKTYPE1,ROCKTYPE2,AWC,CLAY,KFFACT,OM,PERM,THICK,HYGRP,DRAIN,LL,IFHYDRIC,AFLDFREQ,Precipmm,Snowfallmm,Snowdepthmm,MaxtempC,MintempC,ElevationM,SlopeDegree,TWetnessI,SEEP_DIST,INHAB_DIST,ROAD_FID,ROAD_DIST,TRAIL_FID,TRAIL_DIST,OUTFALL_FID,OUTFALL_DIST,IMPERV_DIST,BORDER_FID,BORDER_DIST,BORDER_FEAT,radius,area_circ,compactness,core_area,core_per,neighbor_d,Seeps_per_m2,Proportion_Inhab,Count_Species_inpatch,Seepsperpatch,Count_Inhab_inpatch,Is_Calvert,Is_Upland,Is_Water,Is_Potomac,Is_Lowland,SoilC_FAC1,SoilC_FAC2,SoilC_FAC3,SoilC_FAC4,SoilC_FAC5,SoilC_FAC6,Rock1_gravel,Rock1_sand,Rock1_water,Rock2_none,Rock2_clayormud,Rock2_sand,Bin_hotspot,Bin_inhabited
15,Point,NACE16,3/26/2015,T6-2 Site 2,38.818622,-77.006453,Y,5,9.4,0.184,0.13,15.5,1.77,7.1,Y,N,Y,Y,11.587,0.691,<Null>,1,1,1,0,0,0,3,"Crangonyx shoemaker, terrestrial isopod, tabanidae, terrestrial beetle, Stygobromus, Caecidotea",BALD EAGLE HILL,clay was gray,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,7.2,-2.2,8.282,27.37952,3.511528,47.428232,0,1126,142.508812,19,757.93614,200,357.494008,125.451234,8,31.084042,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,0,0,0,1,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
18,Point,NACE94,12/15/2015,T4-2 Site 5,38.820952,-77.011702,N,<Null>,12.8,0.659,0.43,15.6,1.64,6.08,Y,N,Y,Y,<Null>,3.023,9490.518481,0,1,1,0,0,0,2,"crangonyx, caecidotea",SHEPERD PARKWAY,"species not identified yet, no clay up to 30 cm",QTu,QTu;5,Upland Deps WS,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,22.8,11.1,41.086,15.87029,<Null>,21.006046,0,1166,57.387387,19,883.080877,155,100.286459,57.387387,17,7.675773,NatParkBorders,1428.158569,6407702.88333,.06631,354893.199249,6046.97337,2.048477,4E-005,.411765,3,17,7,0,1,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
23,Point,NACE90,12/8/2015,T4-2 Site 1,38.823607,-77.013637,Y,18,11.33,0.283,0.18,50.1,5.38,5.58,Y,Y,Y,Y,15.223,1.912,7099.140455,1,1,0,0,0,0,2,7 Crangonyx shoemakeri,SHEPERD PARKWAY,<Null>,QTu,QTu;5,Upland Deps WS,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,11.1,-1.1,42.256,10.01969,6.412803,10.600474,0,168,35.036963,19,1203.371321,155,322.181565,35.03699,17,25.240904,NatParkBorders,1320.132665,5475006.768763,.040093,156352.011329,4549.269074,8.014161,2.7E-005,.333333,2,6,2,0,1,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
34,Point,NACE100,2/3/2016,T13-3 Site 4,38.837885,-76.986503,N,<Null>,5.42,0.465,0.36,95.2,11.97,6.56,Y,Y,Y,N,6,1.066,4775.273773,0,1,1,0,0,0,2,"crangonyx, caecidotea",OXON RUN PARKWAY,YSI was taken on 2.10.16. No clay up to 50 cm deep.,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.11,20.5,.3,.4,2.77,68.1,2.9,3.7,27.8,.1,3.9,2.5,0,51,15.6,2.2,23.892,1.55275,3.840043,42.297862,0,3867,97.741992,5,2281.375516,229,208.114415,97.74194,20,125.768093,NatParkBorders,1125.648687,3980661.459797,.121082,424648.975378,4835.917667,590.161867,4.4E-005,.428571,3,21,9,0,0,0,0,1,-.079205413484419,-.472217430989778,.868686511136509,-1.26006108601399,-2.23976142846386,6.72880560159683E-008,1,0,0,0,0,1,1,1
38,Point,NACE107,2/17/2016,T13-3 Site 8,38.838424,-76.986201,Y,0,5.73,<Null>,<Null>,113.2,14.14,8.31,Y,N,Y,N,15.88,0.0466,<Null>,0,1,1,0,0,0,2,"Caecidotea, Crangonyx",OXON RUN PARKWAY,<Null>,Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.11,20.5,.3,.4,2.77,68.1,2.9,3.7,27.8,.1,3.9,10.4,46,76,11.7,-6.7,23.644,1.337821,4.24632,33.393946,0,3867,136.220544,5,2208.705255,229,214.624767,136.220544,20,155.100813,NatParkBorders,1125.648687,3980661.459797,.121082,424648.975378,4835.917667,590.161867,4.4E-005,.428571,3,21,9,0,0,0,0,1,-.079205413484419,-.472217430989778,.868686511136509,-1.26006108601399,-2.23976142846386,6.72880560159683E-008,1,0,0,0,0,1,1,1
52,Point,NACE121,11/17/2016,T16-9 Site 1,38.841118,-76.978471,Y,18,11.72,0.718,0.48,13,1.4,3.64,Y,Y,Y,Y,<Null>,<Null>,<Null>,1,1,0,0,0,0,2,11 Crangonyx shoemakeri,OXON RUN PARKWAY,"Re-did the pH on 11.22.16 and got 3.7 (after re calibrating), REVISTED 2.25.19 collected radon",Ql,Ql;5,Lowland Deps,Quaternary,gravel,sand,.11,20.5,.3,.4,2.77,68.1,2.9,3.7,27.8,.1,3.9,0,0,0,16.7,3.3,31.468,27.16663,6.412803,50.313892,0,1850,36.636221,5,1739.285249,233,85.747191,12.20853,20,.97724,NatParkBorders,1125.648687,3980661.459797,.121082,424648.975378,4835.917667,590.161867,4.4E-005,.428571,3,21,9,0,0,0,0,1,-.079205413484419,-.472217430989778,.868686511136509,-1.26006108601399,-2.23976142846386,6.72880560159683E-008,1,0,0,0,0,1,1,1
62,Point,NACE64,2/15/2014,T7-3 Site 5,38.844863,-77.000455,Y,16,2.7,0.727,0.37,3.5,0.41,6.35,Y,N,Y,N,6,0.182,1886.561612,1,0,1,0,0,0,2,"1 Isopoda kenki, 2 Amphipoda stygobromus",SHEPERD PARKWAY,Revisted 11.13.15 TYPE LOCALITY OF NEW STYGOBROMUS,QTu,QTu;5,Upland Deps WS,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,17.3,51,229,4.4,-5,43.746,5.067621,6.412803,10.597142,0,1489,13.055088,146,2418.340518,221,952.48794,10.133265,21,6.833423,NatParkBorders,974.290393,2982128.454498,.073072,168223.354083,3844.121647,18.447452,6E-005,.307692,3,13,4,0,1,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
69,Point,NACE82,11/24/2015,T8-2 Site 2,38.848931,-77.00307,N,<Null>,9,0.444,0.31,62.6,7.2,5.06,Y,Y,Y,N,6,0.182,550,0,1,1,0,0,0,2,"crangonyx, caecidotea",SHEPERD PARKWAY,no clay layer. Very sloppy. Got to depth of 1 meter. Could maybe be clay under 1 meter?,QTu,QTu;5,Upland Deps WS,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,8.3,-1.1,33.344,12.88057,3.840043,20.326389,0,1542,62.29524,146,1980.089447,547,1372.996464,62.295319,24,58.961153,NatParkBorders,1611.628648,8159799.049608,.03563,214781.514715,5163.251632,17.823068,5.5E-005,.5,3,16,8,0,1,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
71,Point,NACE84,11/24/2015,T8-2 Site 4,38.849094,-77.003408,Y,40,10.62,0.347,0.23,18,2,4.57,Y,N,Y,Y,6,0.412,4483.30743,0,1,1,0,0,0,2,"crangonyx, caecidotea",SHEPERD PARKWAY,<Null>,QTu,QTu;5,Upland Deps WS,Quaternary,gravel,sand,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,0,0,0,8.3,-1.1,32.057,25.86158,3.638358,20.326391,0,1547,64.651521,146,1934.230083,77,1336.490916,64.651383,24,61.788936,NatParkBorders,1611.628648,8159799.049608,.03563,214781.514715,5163.251632,17.823068,5.5E-005,.5,3,16,8,0,1,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,1,0,0,0,0,1,1,1
85,Point,NACE110,2/25/2016,T14-5 Site 3,38.852349,-76.986769,N,<Null>,9.1,<Null>,0.16,211.9,24.17,8.74,Y,Y,Y,N,<Null>,<Null>,<Null>,1,0,1,0,0,0,2,"Stygobromus, Caecidotea",Suitland Parkway,<Null>,Tc,Tc;5,Calvert Form,Miocene,sand,clay or mud,.13,26.7,.26,.4,2.33,59.8,2.7,3.5,34.1,.1,3.8,13.5,0,0,6.7,3.9,34.364,3.570986,3.540004,26.49017,0,2080,15.351424,5,1052.286678,549,519.655316,15.351493,25,523.864094,NatParkBorders,2732.197537,23451665.809704,.018123,294425.239601,10423.348023,12.500701,7E-006,1,2,3,3,1,0,0,0,0,-.827780146391282,.932845173004755,-.102419508096087,.0477703767891292,.210318811541399,-2.1990854293108E-007,0,1,0,0,1,0,1,1
